seat,start_date,end_date,status,reached_safety_net,banked,equity_at_end,value
1,2020-01-02,2021-06-03,blown,True,0,154,0
2,2020-02-03,2021-03-08,blown,True,0,356,0
3,2020-03-04,2021-03-08,blown,True,0,383,0
4,2020-04-03,2021-06-17,blown,True,0,119,0
5,2020-05-04,2021-06-07,blown,True,0,105,0
6,2020-06-03,2021-03-04,blown,False,0,-42,0
7,2020-07-03,2021-03-08,blown,True,0,362,0
8,2020-08-03,2021-03-04,blown,False,0,127,0
9,2020-09-02,2021-03-04,blown,False,0,-710,0
10,2020-10-02,2021-03-04,blown,False,0,-417,0
11,2020-11-02,2021-03-04,blown,False,0,-860,0
12,2020-12-02,2021-03-04,blown,False,0,-1471,0
13,2021-01-04,2021-03-04,blown,False,0,-1509,0
14,2021-02-03,2021-06-07,blown,False,0,-2108,0
15,2021-03-05,2021-06-10,blown,False,0,-822,0
16,2021-04-05,2021-06-10,blown,False,0,-1845,0
17,2021-05-05,2022-05-12,blown,True,0,102,0
18,2021-06-04,,alive,True,0,27681,27681
19,2021-07-05,,alive,True,0,27694,27694
20,2021-08-04,2022-07-01,blown,True,0,141,0
21,2021-09-03,2022-06-30,blown,True,0,138,0
22,2021-10-04,2022-07-01,blown,True,0,121,0
23,2021-11-03,2022-05-11,blown,False,0,640,0
24,2021-12-03,2022-06-14,blown,True,0,210,0
25,2022-01-03,2022-05-12,blown,True,0,194,0
26,2022-02-02,2022-05-12,blown,True,0,182,0
27,2022-03-04,2022-05-11,blown,False,0,-376,0
28,2022-04-04,2022-05-11,blown,False,0,-416,0
29,2022-05-04,2022-05-12,blown,False,0,-1644,0
30,2022-06-03,,alive,True,0,25001,25001
31,2022-07-04,,alive,True,0,27195,27195
32,2022-08-03,,alive,True,0,24846,24846
33,2022-09-02,,alive,True,0,24688,24688
34,2022-10-03,,alive,True,0,23751,23751
35,2022-11-02,,alive,True,0,23888,23888
36,2022-12-02,,alive,True,0,23673,23673
37,2023-01-03,,alive,True,0,24716,24716
38,2023-02-02,,alive,True,0,23867,23867
39,2023-03-06,,alive,True,0,23377,23377
40,2023-04-05,,alive,True,0,22633,22633
41,2023-05-05,,alive,True,0,22419,22419
42,2023-06-05,,alive,True,0,22002,22002
43,2023-07-05,,alive,True,0,21644,21644
44,2023-08-04,,alive,True,0,21571,21571
45,2023-09-04,,alive,True,0,20688,20688
46,2023-10-04,,alive,True,0,21123,21123
47,2023-11-03,,alive,True,0,21978,21978
