evaluation,evaluation_kind,start,end,k,copies,offers,requested_copies,filled_copies,fill_rate,offer_coverage,full_copy_coverage,contract_hours,initial_stop_risk,raw_net_completed,max_concurrent_contracts,raw_peak_overlap,mechanical_full_capacity
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,1,1,5726,5726,4228,0.73838631,0.73838631,0.73838631,6795.01694444,275736.00000000,2937.60000000,1,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,1,2,5726,11452,4228,0.36919315,0.73838631,0.00000000,6795.01694444,275736.00000000,2937.60000000,1,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,1,3,5726,17178,4228,0.24612877,0.73838631,0.00000000,6795.01694444,275736.00000000,2937.60000000,1,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,1,4,5726,22904,4228,0.18459658,0.73838631,0.00000000,6795.01694444,275736.00000000,2937.60000000,1,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,1,5,5726,28630,4228,0.14767726,0.73838631,0.00000000,6795.01694444,275736.00000000,2937.60000000,1,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,1,6,5726,34356,4228,0.12306438,0.73838631,0.00000000,6795.01694444,275736.00000000,2937.60000000,1,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,1,7,5726,40082,4228,0.10548376,0.73838631,0.00000000,6795.01694444,275736.00000000,2937.60000000,1,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,1,8,5726,45808,4228,0.09229829,0.73838631,0.00000000,6795.01694444,275736.00000000,2937.60000000,1,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,2,1,5726,5726,5479,0.95686343,0.95686343,0.95686343,8456.00583333,341701.00000000,8844.05000000,2,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,2,2,5726,11452,8456,0.73838631,0.73838631,0.73838631,13590.03388889,551472.00000000,5875.20000000,2,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,2,3,5726,17178,8456,0.49225754,0.73838631,0.00000000,13590.03388889,551472.00000000,5875.20000000,2,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,2,4,5726,22904,8456,0.36919315,0.73838631,0.00000000,13590.03388889,551472.00000000,5875.20000000,2,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,2,5,5726,28630,8456,0.29535452,0.73838631,0.00000000,13590.03388889,551472.00000000,5875.20000000,2,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,2,6,5726,34356,8456,0.24612877,0.73838631,0.00000000,13590.03388889,551472.00000000,5875.20000000,2,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,2,7,5726,40082,8456,0.21096752,0.73838631,0.00000000,13590.03388889,551472.00000000,5875.20000000,2,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,2,8,5726,45808,8456,0.18459658,0.73838631,0.00000000,13590.03388889,551472.00000000,5875.20000000,2,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,3,1,5726,5726,5700,0.99545931,0.99545931,0.99545931,8673.45583333,352188.00000000,9344.00000000,3,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,3,2,5726,11452,9707,0.84762487,0.95686343,0.73838631,15251.02277778,617437.00000000,11781.65000000,3,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,3,3,5726,17178,12684,0.73838631,0.73838631,0.73838631,20385.05083333,827208.00000000,8812.80000000,3,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,3,4,5726,22904,12684,0.55378973,0.73838631,0.00000000,20385.05083333,827208.00000000,8812.80000000,3,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,3,5,5726,28630,12684,0.44303178,0.73838631,0.00000000,20385.05083333,827208.00000000,8812.80000000,3,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,3,6,5726,34356,12684,0.36919315,0.73838631,0.00000000,20385.05083333,827208.00000000,8812.80000000,3,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,3,7,5726,40082,12684,0.31645127,0.73838631,0.00000000,20385.05083333,827208.00000000,8812.80000000,3,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,3,8,5726,45808,12684,0.27689487,0.73838631,0.00000000,20385.05083333,827208.00000000,8812.80000000,3,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,4,1,5726,5726,5725,0.99982536,0.99982536,0.99982536,8687.91694444,353513.50000000,8566.25000000,4,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,4,2,5726,11452,10958,0.95686343,0.95686343,0.95686343,16912.01166667,683402.00000000,17688.10000000,4,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,4,3,5726,17178,13935,0.81121202,0.95686343,0.73838631,22046.03972222,893173.00000000,14719.25000000,4,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,4,4,5726,22904,16912,0.73838631,0.73838631,0.73838631,27180.06777778,1102944.00000000,11750.40000000,4,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,4,5,5726,28630,16912,0.59070905,0.73838631,0.00000000,27180.06777778,1102944.00000000,11750.40000000,4,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,4,6,5726,34356,16912,0.49225754,0.73838631,0.00000000,27180.06777778,1102944.00000000,11750.40000000,4,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,4,7,5726,40082,16912,0.42193503,0.73838631,0.00000000,27180.06777778,1102944.00000000,11750.40000000,4,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,4,8,5726,45808,16912,0.36919315,0.73838631,0.00000000,27180.06777778,1102944.00000000,11750.40000000,4,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,5,1,5726,5726,5726,1.00000000,1.00000000,1.00000000,8688.48916667,353556.50000000,8622.70000000,5,5,True
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,5,2,5726,11452,11179,0.97616137,0.99545931,0.95686343,17129.46166667,693889.00000000,18188.05000000,5,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,5,3,5726,17178,15186,0.88403772,0.95686343,0.73838631,23707.02861111,959138.00000000,20625.70000000,5,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,5,4,5726,22904,18163,0.79300559,0.95686343,0.73838631,28841.05666667,1168909.00000000,17656.85000000,5,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,5,5,5726,28630,21140,0.73838631,0.73838631,0.73838631,33975.08472222,1378680.00000000,14688.00000000,5,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,5,6,5726,34356,21140,0.61532192,0.73838631,0.00000000,33975.08472222,1378680.00000000,14688.00000000,5,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,5,7,5726,40082,21140,0.52741879,0.73838631,0.00000000,33975.08472222,1378680.00000000,14688.00000000,5,5,False
train_2020_2022,holdout,2020-01-01,2023-01-01 00:00:00,5,8,5726,45808,21140,0.46149144,0.73838631,0.00000000,33975.08472222,1378680.00000000,14688.00000000,5,5,False
