case_index,sweep,label,seed,interval_days,start_policy,profit_trigger,dd_trigger,min_days,dd,frozen_floor,cost,withdraw_chunk,withdraw_step,seat_cap,split,n_book_windows,horizon_years,book_start_first,book_start_last,overlapping_windows,in_sample,cash_p10,cash_median,withdrawable_p10,withdrawable_median,payout_received_median,realized_p10,realized_median,cashout_p10,cashout_median,cashout_below_water_rate,mark_p10,mark_median,mark_below_water_rate,ruin_rate,wipeout_rate,shock_5plus_rate,full_collapse_5plus_rate,worst_cluster,worst_wipe,seats_bought_median,live_seats_median,dd_same_price_diagnostic,simulator_sha256
11,cadence_seed,"seed $2,000, every 60d",2000.000000,60,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,2280.000000,13500.000000,172.130000,7440.750000,14100.000000,280.000000,11500.000000,280.000000,21257.275000,0.111111,3503.880000,35397.425000,0.055556,0.000000,0.444444,0.000000,0.000000,3,1,13.000000,8.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
12,cadence_seed,"seed $2,000, every 90d",2000.000000,90,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,2200.000000,9600.000000,46.585000,4902.025000,9500.000000,200.000000,7600.000000,200.000000,14389.750000,0.055556,2941.385000,22934.600000,0.000000,0.000000,0.500000,0.000000,0.000000,2,2,9.000000,5.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
13,cadence_seed,"seed $3,000, every 14d",3000.000000,14,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,40900.000000,0.000000,21644.550000,42400.000000,-3000.000000,37900.000000,-3000.000000,68640.575000,0.222222,-3000.000000,107628.075000,0.166667,0.166667,0.222222,0.444444,0.000000,12,1,20.500000,20.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
14,cadence_seed,"seed $3,000, every 21d",3000.000000,21,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,1120.000000,30200.000000,0.000000,16458.400000,33100.000000,-1880.000000,27200.000000,-1880.000000,49567.200000,0.166667,2239.920000,83367.200000,0.111111,0.111111,0.222222,0.333333,0.000000,10,3,25.000000,20.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
15,cadence_seed,"seed $3,000, every 30d",3000.000000,30,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,3220.000000,24000.000000,0.000000,12805.500000,25800.000000,220.000000,21000.000000,220.000000,38768.600000,0.111111,5600.655000,62638.075000,0.055556,0.000000,0.277778,0.111111,0.000000,6,1,24.000000,17.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
16,cadence_seed,"seed $3,000, every 45d",3000.000000,45,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,3080.000000,16200.000000,207.410000,8735.800000,16600.000000,80.000000,13200.000000,287.410000,25017.975000,0.111111,3608.800000,40668.375000,0.055556,0.000000,0.222222,0.000000,0.000000,4,1,17.000000,11.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
17,cadence_seed,"seed $3,000, every 60d",3000.000000,60,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,3280.000000,14500.000000,172.130000,7440.750000,14100.000000,280.000000,11500.000000,280.000000,21257.275000,0.111111,3503.880000,35397.425000,0.055556,0.000000,0.444444,0.000000,0.000000,3,1,13.000000,8.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
18,cadence_seed,"seed $3,000, every 90d",3000.000000,90,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,3200.000000,10600.000000,46.585000,4902.025000,9500.000000,200.000000,7600.000000,200.000000,14389.750000,0.055556,2941.385000,22934.600000,0.000000,0.000000,0.500000,0.000000,0.000000,2,2,9.000000,5.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
19,cadence_seed,"seed $4,000, every 14d",4000.000000,14,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,700.000000,44100.000000,0.000000,23778.125000,44600.000000,-3300.000000,40100.000000,-3225.205000,73274.550000,0.166667,3929.070000,112262.050000,0.111111,0.055556,0.111111,0.388889,0.000000,12,4,25.000000,20.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
20,cadence_seed,"seed $4,000, every 21d",4000.000000,21,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,3960.000000,31200.000000,0.000000,16458.400000,33100.000000,-40.000000,27200.000000,-40.000000,49567.200000,0.111111,7124.925000,83367.200000,0.055556,0.000000,0.111111,0.333333,0.000000,10,2,27.500000,20.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
21,cadence_seed,"seed $4,000, every 30d",4000.000000,30,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,5080.000000,25000.000000,255.115000,12805.500000,25800.000000,1080.000000,21000.000000,1220.000000,38768.600000,0.055556,6128.140000,62638.075000,0.000000,0.000000,0.277778,0.111111,0.000000,6,1,24.000000,17.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
22,cadence_seed,"seed $4,000, every 45d",4000.000000,45,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,4080.000000,17200.000000,207.410000,8735.800000,16600.000000,80.000000,13200.000000,287.410000,25017.975000,0.111111,3608.800000,40668.375000,0.055556,0.000000,0.222222,0.000000,0.000000,4,1,17.000000,11.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
23,cadence_seed,"seed $4,000, every 60d",4000.000000,60,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,4280.000000,15500.000000,172.130000,7440.750000,14100.000000,280.000000,11500.000000,280.000000,21257.275000,0.111111,3503.880000,35397.425000,0.055556,0.000000,0.444444,0.000000,0.000000,3,1,13.000000,8.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
24,cadence_seed,"seed $4,000, every 90d",4000.000000,90,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,4200.000000,11600.000000,46.585000,4902.025000,9500.000000,200.000000,7600.000000,200.000000,14389.750000,0.055556,2941.385000,22934.600000,0.000000,0.000000,0.500000,0.000000,0.000000,2,2,9.000000,5.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
25,start_trigger,calendar 30d,3000.000000,30,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,3220.000000,24000.000000,0.000000,12805.500000,25800.000000,220.000000,21000.000000,220.000000,38768.600000,0.111111,5600.655000,62638.075000,0.055556,0.000000,0.277778,0.111111,0.000000,6,1,24.000000,17.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
26,start_trigger,calendar 45d,3000.000000,45,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,3080.000000,16200.000000,207.410000,8735.800000,16600.000000,80.000000,13200.000000,287.410000,25017.975000,0.111111,3608.800000,40668.375000,0.055556,0.000000,0.222222,0.000000,0.000000,4,1,17.000000,11.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
27,start_trigger,calendar 60d,3000.000000,60,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,3280.000000,14500.000000,172.130000,7440.750000,14100.000000,280.000000,11500.000000,280.000000,21257.275000,0.111111,3503.880000,35397.425000,0.055556,0.000000,0.444444,0.000000,0.000000,3,1,13.000000,8.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
