case_index,sweep,label,seed,interval_days,start_policy,profit_trigger,dd_trigger,min_days,dd,frozen_floor,cost,withdraw_chunk,withdraw_step,seat_cap,split,n_book_windows,horizon_years,book_start_first,book_start_last,overlapping_windows,in_sample,cash_p10,cash_median,withdrawable_p10,withdrawable_median,payout_received_median,realized_p10,realized_median,cashout_p10,cashout_median,cashout_below_water_rate,mark_p10,mark_median,mark_below_water_rate,ruin_rate,wipeout_rate,shock_5plus_rate,full_collapse_5plus_rate,worst_cluster,worst_wipe,seats_bought_median,live_seats_median,dd_same_price_diagnostic,simulator_sha256
48,withdrawal,"$1,000/$2,000; seed $1,200; 30d",1200.000000,30,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,1000.000000,2000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,12400.000000,0.000000,12255.225000,15500.000000,-1200.000000,11200.000000,-1200.000000,27378.825000,0.277778,-1200.000000,50624.900000,0.222222,0.222222,0.333333,0.000000,0.000000,4,1,18.000000,10.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
49,withdrawal,"$1,000/$5,000; seed $1,200; 30d",1200.000000,30,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,1000.000000,5000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,3300.000000,0.000000,22518.225000,4000.000000,-1200.000000,2100.000000,-1200.000000,24618.225000,0.277778,-1200.000000,40533.900000,0.222222,0.222222,0.277778,0.000000,0.000000,4,1,9.000000,5.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
50,withdrawal,"$2,000/$4,000; seed $1,200; 30d",1200.000000,30,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,2000.000000,4000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,7700.000000,0.000000,12599.700000,9000.000000,-1200.000000,6500.000000,-1200.000000,31813.475000,0.277778,-1200.000000,48283.775000,0.222222,0.222222,0.277778,0.000000,0.000000,4,1,10.500000,7.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
51,withdrawal,"$200/$400; seed $1,200; 45d",1200.000000,45,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,13400.000000,0.000000,8276.825000,15500.000000,-1200.000000,12200.000000,-1200.000000,23321.375000,0.166667,-1200.000000,40668.375000,0.166667,0.166667,0.444444,0.000000,0.000000,4,1,16.000000,11.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
52,withdrawal,"$200/$600; seed $1,200; 45d",1200.000000,45,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,600.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,7900.000000,0.000000,14208.775000,9900.000000,-1200.000000,6700.000000,-1200.000000,21953.325000,0.222222,-1200.000000,39268.375000,0.166667,0.166667,0.388889,0.000000,0.000000,4,2,16.000000,10.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
53,withdrawal,"$200/$1,000; seed $1,200; 45d",1200.000000,45,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,1000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,4400.000000,0.000000,19220.750000,6200.000000,-1200.000000,3200.000000,-1200.000000,24220.750000,0.222222,-1200.000000,42677.075000,0.166667,0.166667,0.388889,0.000000,0.000000,4,2,13.500000,6.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
54,withdrawal,"$200/$2,000; seed $1,200; 45d",1200.000000,45,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,2000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,1100.000000,0.000000,22357.825000,2500.000000,-1200.000000,-100.000000,-1200.000000,23157.825000,0.222222,-1200.000000,36576.425000,0.222222,0.166667,0.277778,0.000000,0.000000,4,1,10.500000,5.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
55,withdrawal,"$500/$2,500; seed $1,200; 45d",1200.000000,45,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,500.000000,2500.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,3750.000000,0.000000,18680.275000,5000.000000,-1200.000000,2550.000000,-1200.000000,22980.275000,0.222222,-1200.000000,37052.475000,0.166667,0.166667,0.277778,0.000000,0.000000,4,1,11.000000,5.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
56,withdrawal,"$1,000/$2,000; seed $1,200; 45d",1200.000000,45,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,1000.000000,2000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,8700.000000,0.000000,9469.300000,10500.000000,-1200.000000,7500.000000,-1200.000000,19913.850000,0.222222,-1200.000000,36247.975000,0.166667,0.166667,0.444444,0.000000,0.000000,4,1,14.000000,7.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
57,withdrawal,"$1,000/$5,000; seed $1,200; 45d",1200.000000,45,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,1000.000000,5000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,2800.000000,0.000000,20180.275000,3500.000000,-1200.000000,1600.000000,-1200.000000,23280.275000,0.222222,-1200.000000,34609.575000,0.166667,0.166667,0.277778,0.000000,0.000000,4,1,8.000000,5.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
58,withdrawal,"$2,000/$4,000; seed $1,200; 45d",1200.000000,45,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,2000.000000,4000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,7200.000000,0.000000,11724.550000,8000.000000,-1200.000000,6000.000000,-1200.000000,23224.550000,0.222222,-1200.000000,34962.650000,0.166667,0.166667,0.277778,0.000000,0.000000,4,1,9.000000,5.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
59,withdrawal,"$200/$400; seed $1,200; 60d",1200.000000,60,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,900.000000,12700.000000,30.765000,7440.750000,14100.000000,-300.000000,11500.000000,-222.135000,21257.275000,0.111111,1737.505000,35397.425000,0.055556,0.055556,0.444444,0.000000,0.000000,3,1,13.000000,8.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
60,withdrawal,"$200/$600; seed $1,200; 60d",1200.000000,60,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,600.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,280.000000,9100.000000,0.000000,12740.750000,10500.000000,-920.000000,7900.000000,-920.000000,21140.750000,0.222222,425.225000,38569.675000,0.111111,0.111111,0.444444,0.000000,0.000000,3,2,13.000000,8.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
61,withdrawal,"$200/$1,000; seed $1,200; 60d",1200.000000,60,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,1000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,4500.000000,0.000000,18061.825000,5900.000000,-1200.000000,3300.000000,-1200.000000,22461.825000,0.222222,-69.185000,40653.450000,0.111111,0.111111,0.388889,0.000000,0.000000,3,2,12.000000,6.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
62,withdrawal,"$200/$2,000; seed $1,200; 60d",1200.000000,60,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,2000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,1300.000000,0.000000,20221.825000,2200.000000,-1200.000000,100.000000,-1200.000000,20921.825000,0.222222,-1200.000000,34808.425000,0.166667,0.166667,0.333333,0.000000,0.000000,3,1,10.000000,5.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
63,withdrawal,"$500/$2,500; seed $1,200; 60d",1200.000000,60,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,500.000000,2500.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,3950.000000,244.475000,17115.475000,4750.000000,-1200.000000,2750.000000,-955.525000,20915.475000,0.166667,864.475000,34893.350000,0.111111,0.111111,0.277778,0.000000,0.000000,3,1,9.500000,5.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
64,withdrawal,"$1,000/$2,000; seed $1,200; 60d",1200.000000,60,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,1000.000000,2000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,9600.000000,0.000000,8864.850000,11000.000000,-1200.000000,8400.000000,-1200.000000,20128.250000,0.222222,298.140000,33297.425000,0.111111,0.111111,0.333333,0.000000,0.000000,3,1,12.000000,7.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
65,withdrawal,"$1,000/$5,000; seed $1,200; 60d",1200.000000,60,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,1000.000000,5000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,2600.000000,244.475000,18019.250000,3000.000000,-1200.000000,1400.000000,-955.525000,20519.250000,0.166667,864.475000,31897.125000,0.111111,0.111111,0.277778,0.000000,0.000000,3,1,7.500000,5.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
66,withdrawal,"$2,000/$4,000; seed $1,200; 60d",1200.000000,60,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,2000.000000,4000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,6400.000000,244.475000,11025.800000,7000.000000,-1200.000000,5200.000000,-955.525000,20725.800000,0.166667,864.475000,35161.275000,0.111111,0.111111,0.277778,0.000000,0.000000,3,1,9.500000,5.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
67,withdrawal,"$200/$400; seed $3,000; 30d",3000.000000,30,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,3220.000000,24000.000000,0.000000,12805.500000,25800.000000,220.000000,21000.000000,220.000000,38768.600000,0.111111,5600.655000,62638.075000,0.055556,0.000000,0.277778,0.111111,0.000000,6,1,24.000000,17.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
68,withdrawal,"$200/$600; seed $3,000; 30d",3000.000000,30,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,600.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,1540.000000,16700.000000,0.000000,24813.400000,18500.000000,-1460.000000,13700.000000,-1266.860000,42062.425000,0.222222,3680.655000,69100.300000,0.055556,0.000000,0.277778,0.111111,0.000000,6,2,24.000000,17.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
69,withdrawal,"$200/$1,000; seed $3,000; 30d",3000.000000,30,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,1000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,9200.000000,206.885000,34869.125000,11000.000000,-3000.000000,6200.000000,-2733.115000,43669.125000,0.277778,1311.660000,75937.175000,0.111111,0.000000,0.222222,0.111111,0.000000,6,1,23.500000,16.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
70,withdrawal,"$200/$2,000; seed $3,000; 30d",3000.000000,30,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,2000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,3100.000000,0.000000,41021.275000,4400.000000,-3000.000000,100.000000,-3000.000000,42421.275000,0.222222,-2274.695000,72457.250000,0.166667,0.111111,0.277778,0.111111,0.000000,6,1,20.000000,10.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
71,withdrawal,"$500/$2,500; seed $3,000; 30d",3000.000000,30,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,500.000000,2500.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,7800.000000,612.755000,35216.525000,9500.000000,-3000.000000,4800.000000,-2387.245000,42766.525000,0.222222,2542.980000,74837.175000,0.055556,0.000000,0.111111,0.111111,0.000000,6,1,20.000000,13.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
72,withdrawal,"$1,000/$2,000; seed $3,000; 30d",3000.000000,30,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,1000.000000,2000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,200.000000,17200.000000,310.765000,15105.500000,19000.000000,-2800.000000,14200.000000,-1988.315000,36768.600000,0.277778,1417.895000,58638.075000,0.055556,0.000000,0.277778,0.111111,0.000000,6,1,24.000000,17.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
73,withdrawal,"$1,000/$5,000; seed $3,000; 30d",3000.000000,30,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,1000.000000,5000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,4800.000000,612.755000,37308.225000,5500.000000,-3000.000000,1800.000000,-2387.245000,42108.225000,0.222222,2542.980000,68952.225000,0.055556,0.000000,0.111111,0.111111,0.000000,6,1,18.000000,9.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
74,withdrawal,"$2,000/$4,000; seed $3,000; 30d",3000.000000,30,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,2000.000000,4000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,12300.000000,612.755000,23352.500000,13000.000000,-3000.000000,9300.000000,-2387.245000,42052.500000,0.222222,2542.980000,69444.200000,0.055556,0.000000,0.111111,0.111111,0.000000,6,1,19.000000,9.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
75,withdrawal,"$200/$400; seed $3,000; 45d",3000.000000,45,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,3080.000000,16200.000000,207.410000,8735.800000,16600.000000,80.000000,13200.000000,287.410000,25017.975000,0.111111,3608.800000,40668.375000,0.055556,0.000000,0.222222,0.000000,0.000000,4,1,17.000000,11.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
76,withdrawal,"$200/$600; seed $3,000; 45d",3000.000000,45,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,600.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,1740.000000,10300.000000,347.410000,15973.425000,10700.000000,-1260.000000,7300.000000,-912.590000,24317.975000,0.222222,2288.800000,39268.375000,0.055556,0.000000,0.166667,0.000000,0.000000,4,1,17.000000,11.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
77,withdrawal,"$200/$1,000; seed $3,000; 45d",3000.000000,45,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,1000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,740.000000,6400.000000,347.410000,22229.150000,6800.000000,-2260.000000,3400.000000,-1792.590000,27429.150000,0.277778,1228.800000,46705.250000,0.055556,0.000000,0.166667,0.000000,0.000000,4,2,17.000000,11.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
78,withdrawal,"$200/$2,000; seed $3,000; 45d",3000.000000,45,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,2000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,2300.000000,1245.300000,26929.150000,2700.000000,-3000.000000,-700.000000,-1754.700000,27129.150000,0.222222,3291.825000,46105.250000,0.111111,0.000000,0.166667,0.000000,0.000000,4,1,17.000000,11.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
79,withdrawal,"$500/$2,500; seed $3,000; 45d",3000.000000,45,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,500.000000,2500.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,5100.000000,1430.505000,23279.150000,5500.000000,-3000.000000,2100.000000,-1569.495000,27129.150000,0.222222,4999.220000,46105.250000,0.055556,0.000000,0.111111,0.000000,0.000000,4,1,17.000000,12.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
80,withdrawal,"$1,000/$2,000; seed $3,000; 45d",3000.000000,45,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,1000.000000,2000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,600.000000,11100.000000,501.930000,10435.800000,11500.000000,-2400.000000,8100.000000,-1457.230000,23617.975000,0.277778,1503.990000,37868.375000,0.055556,0.000000,0.222222,0.000000,0.000000,4,1,17.000000,11.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
81,withdrawal,"$1,000/$5,000; seed $3,000; 45d",3000.000000,45,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,1000.000000,5000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,3200.000000,1430.505000,25029.150000,3500.000000,-3000.000000,200.000000,-1569.495000,27229.150000,0.222222,4999.220000,46105.250000,0.055556,0.000000,0.111111,0.000000,0.000000,4,1,16.000000,10.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
82,withdrawal,"$2,000/$4,000; seed $3,000; 45d",3000.000000,45,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,2000.000000,4000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,10700.000000,1430.505000,15116.950000,11000.000000,-3000.000000,7700.000000,-1569.495000,27173.425000,0.222222,4999.220000,46105.250000,0.055556,0.000000,0.111111,0.000000,0.000000,4,1,16.000000,11.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
83,withdrawal,"$200/$400; seed $3,000; 60d",3000.000000,60,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,3280.000000,14500.000000,172.130000,7440.750000,14100.000000,280.000000,11500.000000,280.000000,21257.275000,0.111111,3503.880000,35397.425000,0.055556,0.000000,0.444444,0.000000,0.000000,3,1,13.000000,8.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
84,withdrawal,"$200/$600; seed $3,000; 60d",3000.000000,60,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,600.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,2140.000000,10900.000000,312.130000,12740.750000,10500.000000,-860.000000,7900.000000,-841.895000,21140.750000,0.166667,2407.125000,38569.675000,0.055556,0.000000,0.333333,0.000000,0.000000,3,1,13.000000,8.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
85,withdrawal,"$200/$1,000; seed $3,000; 60d",3000.000000,60,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,1000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,1140.000000,6300.000000,489.965000,17996.475000,5900.000000,-1860.000000,3300.000000,-1197.755000,22396.475000,0.222222,1567.765000,41125.400000,0.055556,0.000000,0.333333,0.000000,0.000000,3,1,13.000000,9.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
86,withdrawal,"$200/$2,000; seed $3,000; 60d",3000.000000,60,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,2000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,600.000000,2900.000000,820.260000,21496.475000,2500.000000,-2400.000000,-100.000000,-1579.740000,21996.475000,0.222222,2449.910000,40725.400000,0.055556,0.000000,0.222222,0.000000,0.000000,3,1,13.000000,9.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
87,withdrawal,"$500/$2,500; seed $3,000; 60d",3000.000000,60,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,500.000000,2500.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,400.000000,5900.000000,1065.035000,18346.475000,5500.000000,-2600.000000,2900.000000,-1474.965000,21996.475000,0.222222,3301.895000,40725.400000,0.055556,0.000000,0.166667,0.000000,0.000000,3,1,13.000000,9.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
88,withdrawal,"$1,000/$2,000; seed $3,000; 60d",3000.000000,60,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,1000.000000,2000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,1400.000000,11900.000000,575.050000,8864.850000,11500.000000,-1600.000000,8900.000000,-1277.755000,20304.650000,0.222222,1605.985000,33297.425000,0.055556,0.000000,0.333333,0.000000,0.000000,3,1,13.000000,8.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
89,withdrawal,"$1,000/$5,000; seed $3,000; 60d",3000.000000,60,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,1000.000000,5000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,400.000000,3400.000000,1065.035000,20096.475000,3000.000000,-2600.000000,400.000000,-1474.965000,21996.475000,0.222222,3301.895000,40725.400000,0.055556,0.000000,0.166667,0.000000,0.000000,3,1,13.000000,9.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
90,withdrawal,"$2,000/$4,000; seed $3,000; 60d",3000.000000,60,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,2000.000000,4000.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,400.000000,7400.000000,1065.035000,12640.750000,7000.000000,-2600.000000,4400.000000,-1474.965000,22040.750000,0.222222,3301.895000,40725.400000,0.055556,0.000000,0.166667,0.000000,0.000000,3,1,13.000000,9.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
91,dd_same_price,"DD $1,000; seed $1,200",1200.000000,30,time,1000.000000,400.000000,1,1000.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,3700.000000,0.000000,4090.800000,8300.000000,-1200.000000,2500.000000,-1200.000000,7319.700000,0.388889,-1200.000000,13256.275000,0.388889,0.388889,0.833333,0.000000,0.000000,3,3,24.000000,3.500000,True,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
92,dd_same_price,"DD $1,500; seed $1,200",1200.000000,30,time,1000.000000,400.000000,1,1500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,6800.000000,0.000000,5101.750000,10700.000000,-1200.000000,5600.000000,-1200.000000,14179.625000,0.222222,-1200.000000,24224.375000,0.222222,0.222222,0.777778,0.055556,0.000000,5,2,24.000000,7.000000,True,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
93,dd_same_price,"DD $2,000; seed $1,200",1200.000000,30,time,1000.000000,400.000000,1,2000.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,7100.000000,0.000000,6943.100000,10800.000000,-1200.000000,5900.000000,-1200.000000,14900.900000,0.333333,-1200.000000,35135.475000,0.333333,0.333333,0.611111,0.444444,0.055556,6,6,23.500000,8.000000,True,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
94,dd_same_price,"DD $2,500; seed $1,200",1200.000000,30,time,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,19400.000000,0.000000,11613.000000,22900.000000,-1200.000000,18200.000000,-1200.000000,33636.600000,0.222222,-1200.000000,61787.350000,0.166667,0.166667,0.333333,0.000000,0.000000,4,1,21.000000,15.500000,True,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
95,dd_same_price,"DD $3,000; seed $1,200",1200.000000,30,time,1000.000000,400.000000,1,3000.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,19300.000000,0.000000,10036.300000,22800.000000,-1200.000000,18100.000000,-1200.000000,33676.025000,0.277778,643.415000,69145.375000,0.111111,0.111111,0.111111,0.166667,0.055556,6,6,20.000000,13.500000,True,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
96,dd_same_price,"DD $4,000; seed $1,200",1200.000000,30,time,1000.000000,400.000000,1,4000.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,10900.000000,0.000000,5893.400000,13300.000000,-1200.000000,9700.000000,-1200.000000,24049.850000,0.444444,-1200.000000,68983.375000,0.222222,0.166667,0.166667,0.333333,0.000000,8,1,16.000000,10.000000,True,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
97,dd_same_price,"DD $5,000; seed $1,200",1200.000000,30,time,1000.000000,400.000000,1,5000.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,6200.000000,0.000000,3672.925000,7900.000000,-1200.000000,5000.000000,-1200.000000,13281.550000,0.333333,11225.510000,68643.375000,0.055556,0.000000,0.000000,0.111111,0.000000,9,0,13.500000,13.000000,True,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
98,dd_same_price,"DD $6,500; seed $1,200",1200.000000,30,time,1000.000000,400.000000,1,6500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,2800.000000,0.000000,1052.500000,3700.000000,-1200.000000,1600.000000,-1200.000000,5763.525000,0.444444,11225.510000,53247.575000,0.055556,0.000000,0.000000,0.111111,0.000000,10,0,10.000000,10.000000,True,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
99,dd_same_price,"DD $1,000; seed $3,000",3000.000000,30,time,1000.000000,400.000000,1,1000.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,1540.000000,11800.000000,464.415000,6669.075000,14200.000000,-1460.000000,8800.000000,-715.585000,17126.050000,0.222222,319.135000,21629.975000,0.111111,0.000000,0.833333,0.000000,0.000000,3,3,26.500000,5.500000,True,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
