start,start_i,runway_days,frozen,dead,days_to_freeze,banked,value
2020-01-02,0,2384,True,True,370.0,396,396
2020-01-03,4,2383,True,True,370.0,314,314
2020-01-06,10,2380,True,True,367.0,305,305
2020-01-07,15,2379,True,True,367.0,169,169
2020-01-08,20,2378,True,True,365.0,282,282
2020-01-09,27,2377,True,True,365.0,179,179
2020-01-10,32,2376,True,True,364.0,200,200
2020-01-13,39,2373,True,True,360.0,217,217
2020-01-14,47,2372,True,True,360.0,90,90
2020-01-15,50,2371,True,True,359.0,139,139
2020-01-16,56,2370,True,True,357.0,216,216
2020-01-17,62,2369,True,True,357.0,130,130
2020-01-20,67,2366,True,True,354.0,113,113
2020-01-21,75,2365,True,True,353.0,181,181
2020-01-22,81,2364,True,True,352.0,155,155
2020-01-23,87,2363,True,True,351.0,90,90
2020-01-24,91,2362,True,True,350.0,22,22
2020-01-27,97,2359,True,True,347.0,77,77
2020-01-28,102,2358,True,True,345.0,231,231
2020-01-29,107,2357,True,True,345.0,118,118
2020-01-30,112,2356,True,True,344.0,137,137
2020-01-31,117,2355,True,True,343.0,40,40
2020-02-03,123,2352,True,True,340.0,164,164
2020-02-04,130,2351,True,True,339.0,54,54
2020-02-05,137,2350,True,True,338.0,0,0
2020-02-06,142,2349,True,True,340.0,0,0
2020-02-07,150,2348,False,True,,0,0
2020-02-10,154,2345,True,True,333.0,0,0
2020-02-11,160,2344,True,True,332.0,5,5
2020-02-12,166,2343,True,True,331.0,135,135
2020-02-13,172,2342,True,True,330.0,65,65
2020-02-14,179,2341,True,True,329.0,167,167
2020-02-17,184,2338,True,True,326.0,113,113
2020-02-18,190,2337,True,True,325.0,78,78
2020-02-19,195,2336,True,True,324.0,0,0
2020-02-20,199,2335,False,True,,0,0
2020-02-21,206,2334,False,True,,0,0
2020-02-24,211,2331,True,True,319.0,32,32
2020-02-25,214,2330,True,True,317.0,335,335
2020-02-26,219,2329,True,True,315.0,492,492
2020-02-27,223,2328,True,True,314.0,459,459
2020-02-28,229,2327,True,True,250.0,892,892
2020-03-02,232,2324,True,True,294.0,530,530
2020-03-03,239,2323,False,True,,0,0
2020-03-04,244,2322,True,True,309.0,301,301
2020-03-05,249,2321,False,True,,0,0
2020-03-06,256,2320,False,True,,0,0
2020-03-09,262,2317,False,True,,0,0
2020-03-10,264,2316,True,True,304.0,144,144
2020-03-11,269,2315,False,True,,0,0
2020-03-12,277,2314,True,True,300.0,462,462
2020-03-13,282,2313,True,True,175.0,1201,1201
2020-03-16,286,2310,True,True,233.0,781,781
2020-03-18,288,2308,True,True,142.0,2024,2024
2020-03-19,290,2307,True,True,158.0,1469,1469
2020-03-20,294,2306,True,True,139.0,2107,2107
2020-03-23,299,2303,True,True,137.0,2000,2000
2020-03-24,304,2302,True,True,170.0,1067,1067
2020-03-25,310,2301,True,True,224.0,753,753
2020-03-26,315,2300,True,True,228.0,701,701
2020-03-27,318,2299,True,True,222.0,735,735
2020-03-30,325,2296,True,True,164.0,1029,1029
2020-03-31,333,2295,True,True,163.0,1045,1045
2020-04-01,339,2294,True,True,162.0,982,982
2020-04-02,343,2293,True,True,161.0,1075,1075
2020-04-03,350,2292,True,True,215.0,854,854
2020-04-06,357,2289,True,True,157.0,964,964
2020-04-07,364,2288,True,True,211.0,895,895
2020-04-08,372,2287,True,True,210.0,927,927
2020-04-09,379,2286,True,True,154.0,981,981
2020-04-13,382,2282,True,True,205.0,809,809
2020-04-14,386,2281,True,True,204.0,736,736
2020-04-15,390,2280,True,True,208.0,661,661
2020-04-16,396,2279,True,True,202.0,912,912
2020-04-17,401,2278,True,True,206.0,710,710
2020-04-20,405,2275,True,True,198.0,894,894
2020-04-21,408,2274,True,True,197.0,747,747
2020-04-22,413,2273,True,True,141.0,1032,1032
2020-04-23,421,2272,True,True,140.0,968,968
2020-04-24,429,2271,True,True,139.0,954,954
2020-04-27,435,2268,True,True,196.0,700,700
2020-04-28,441,2267,True,True,195.0,687,687
2020-04-29,446,2266,True,True,189.0,745,745
2020-04-30,452,2265,True,True,251.0,423,423
2020-05-01,460,2264,True,True,187.0,720,720
2020-05-04,465,2261,True,True,189.0,705,705
2020-05-05,471,2260,True,True,246.0,509,509
2020-05-06,475,2259,True,True,246.0,346,346
2020-05-07,478,2258,True,True,244.0,439,439
2020-05-08,483,2257,True,True,244.0,296,296
2020-05-11,487,2254,True,True,242.0,113,113
2020-05-12,492,2253,True,True,241.0,179,179
2020-05-13,498,2252,True,True,239.0,278,278
2020-05-14,504,2251,True,True,179.0,683,683
2020-05-15,506,2250,True,True,236.0,452,452
2020-05-18,511,2247,True,True,234.0,218,218
2020-05-19,519,2246,True,True,234.0,0,0
2020-05-20,524,2245,False,True,,0,0
2020-05-21,530,2244,False,True,,0,0
2020-05-22,536,2243,False,True,,0,0
2020-05-25,543,2240,False,True,,0,0
2020-05-26,548,2239,False,True,,0,0
2020-05-27,553,2238,False,True,,0,0
2020-05-28,557,2237,False,True,,0,0
2020-05-29,562,2236,False,True,,0,0
2020-06-01,567,2233,False,True,,0,0
2020-06-02,570,2232,False,True,,0,0
2020-06-03,574,2231,False,True,,0,0
2020-06-04,581,2230,False,True,,0,0
2020-06-05,587,2229,False,True,,0,0
2020-06-08,592,2226,False,True,,0,0
2020-06-09,599,2225,False,True,,0,0
2020-06-10,605,2224,False,True,,0,0
2020-06-11,611,2223,False,True,,0,0
2020-06-12,615,2222,True,True,210.0,195,195
2020-06-15,621,2219,True,True,207.0,157,157
2020-06-16,624,2218,False,True,,0,0
2020-06-17,631,2217,True,True,204.0,240,240
2020-06-18,637,2216,True,True,203.0,345,345
2020-06-19,645,2215,True,True,185.0,548,548
2020-06-22,648,2212,True,True,197.0,513,513
2020-06-23,655,2211,True,True,198.0,265,265
2020-06-24,661,2210,True,True,198.0,207,207
2020-06-25,668,2209,True,True,196.0,273,273
2020-06-26,671,2208,True,True,195.0,352,352
2020-06-29,677,2205,True,True,137.0,627,627
2020-06-30,681,2204,True,True,191.0,338,338
2020-07-01,686,2203,True,True,190.0,330,330
2020-07-02,690,2202,True,True,189.0,236,236
2020-07-03,696,2201,True,True,189.0,168,168
2020-07-06,702,2198,True,True,186.0,141,141
2020-07-07,705,2197,True,True,185.0,131,131
2020-07-08,710,2196,True,True,184.0,135,135
2020-07-09,717,2195,True,True,182.0,255,255
2020-07-10,721,2194,True,True,181.0,262,262
2020-07-13,727,2191,True,True,179.0,94,94
2020-07-14,730,2190,True,True,178.0,20,20
2020-07-15,738,2189,True,True,177.0,30,30
2020-07-16,744,2188,True,True,176.0,185,185
2020-07-17,752,2187,True,True,157.0,539,539
2020-07-20,756,2184,True,True,154.0,561,561
2020-07-21,761,2183,True,True,169.0,489,489
2020-07-22,767,2182,True,True,168.0,388,388
2020-07-23,774,2181,True,True,168.0,359,359
2020-07-24,778,2180,True,True,166.0,440,440
2020-07-27,782,2177,True,True,147.0,597,597
2020-07-28,789,2176,True,True,163.0,243,243
2020-07-29,794,2175,True,True,161.0,500,500
2020-07-30,797,2174,True,True,160.0,389,389
2020-07-31,800,2173,True,True,161.0,118,118
2020-08-03,806,2170,False,True,,0,0
2020-08-04,810,2169,False,True,,0,0
2020-08-05,816,2168,False,True,,0,0
2020-08-06,822,2167,False,True,,0,0
2020-08-07,828,2166,False,True,,0,0
2020-08-10,832,2163,False,True,,0,0
2020-08-11,838,2162,False,True,,0,0
2020-08-12,843,2161,False,True,,0,0
2020-08-13,849,2160,False,True,,0,0
2020-08-14,856,2159,False,True,,0,0
2020-08-17,863,2156,False,True,,0,0
2020-08-18,869,2155,False,True,,0,0
2020-08-19,877,2154,False,True,,0,0
2020-08-20,882,2153,False,True,,0,0
2020-08-21,888,2152,False,True,,0,0
2020-08-24,893,2149,False,True,,0,0
2020-08-25,900,2148,False,True,,0,0
2020-08-26,908,2147,False,True,,0,0
2020-08-27,913,2146,False,True,,0,0
2020-08-28,920,2145,False,True,,0,0
2020-08-31,923,2142,False,True,,0,0
2020-09-01,927,2141,False,True,,0,0
2020-09-02,934,2140,False,True,,0,0
2020-09-03,941,2139,False,True,,0,0
2020-09-04,947,2138,False,True,,0,0
2020-09-07,952,2135,False,True,,0,0
2020-09-08,957,2134,False,True,,0,0
2020-09-09,963,2133,False,True,,0,0
2020-09-10,967,2132,False,True,,0,0
2020-09-11,972,2131,False,True,,0,0
2020-09-14,979,2128,False,True,,0,0
2020-09-15,985,2127,False,True,,0,0
2020-09-16,988,2126,False,True,,0,0
2020-09-17,997,2125,False,True,,0,0
2020-09-18,1003,2124,False,True,,0,0
2020-09-21,1006,2121,False,True,,0,0
2020-09-22,1011,2120,False,True,,0,0
2020-09-23,1016,2119,False,True,,0,0
2020-09-24,1020,2118,False,True,,0,0
2020-09-25,1024,2117,False,True,,0,0
2020-09-28,1032,2114,False,True,,0,0
2020-09-29,1039,2113,False,True,,0,0
2020-09-30,1044,2112,False,True,,0,0
2020-10-01,1048,2111,False,True,,0,0
2020-10-02,1058,2110,False,True,,0,0
2020-10-05,1069,2107,False,True,,0,0
2020-10-06,1073,2106,False,True,,0,0
2020-10-07,1078,2105,True,True,96.0,0,0
2020-10-08,1082,2104,False,True,,0,0
2020-10-09,1086,2103,False,True,,0,0
2020-10-12,1093,2100,False,True,,0,0
2020-10-13,1100,2099,False,True,,0,0
2020-10-14,1105,2098,False,True,,0,0
2020-10-15,1109,2097,False,True,,0,0
2020-10-16,1113,2096,False,True,,0,0
2020-10-19,1118,2093,False,True,,0,0
2020-10-20,1124,2092,False,True,,0,0
2020-10-21,1128,2091,False,True,,0,0
2020-10-22,1133,2090,False,True,,0,0
2020-10-23,1137,2089,False,True,,0,0
2020-10-26,1143,2086,False,True,,0,0
