seat,start_date,end_date,status,reached_safety_net,gross_prop_payout,payout_received,raw_prop_pnl_at_end,optimistic_positive_prop_credit
1,2020-01-02,2021-06-03,blown,True,0,0,154,0
2,2020-02-03,2021-03-08,blown,True,0,0,356,0
3,2020-03-04,2021-03-08,blown,True,0,0,383,0
4,2020-04-03,2021-06-17,blown,True,0,0,119,0
5,2020-05-04,2021-06-07,blown,True,0,0,105,0
6,2020-06-03,2021-03-04,blown,False,0,0,-42,0
7,2020-07-03,2021-03-08,blown,True,0,0,362,0
8,2020-08-03,2021-03-04,blown,False,0,0,127,0
9,2020-09-02,2021-03-04,blown,False,0,0,-710,0
10,2020-10-02,2021-03-04,blown,False,0,0,-417,0
11,2020-11-02,2021-03-04,blown,False,0,0,-860,0
12,2020-12-02,2021-03-04,blown,False,0,0,-1471,0
13,2021-01-04,2021-03-04,blown,False,0,0,-1509,0
14,2021-02-03,2021-06-07,blown,False,0,0,-2108,0
15,2021-03-05,2021-06-10,blown,False,0,0,-822,0
