account,start_balance,drawdown,peak,updated_utc
SIM101,100000.00,1500.00,100000.00,2026-08-19T23:34:21Z
SIM102,100000.00,1500.00,100000.00,2026-08-19T23:34:21Z
SIM103,100000.00,2000.00,100000.00,2026-08-19T23:34:21Z
SIM104,100000.00,2000.00,100000.00,2026-08-19T23:34:21Z
SIM105,100000.00,2000.00,100000.00,2026-08-19T23:34:21Z
SIM106,100000.00,2500.00,100000.00,2026-08-19T23:34:21Z
