Time,Category,Message,
27.08.2026 21:10:46,Order,Order='2876285310/PA-APEX-240737-10' Name='StopLimit_2' New state='Working' Instrument='MNQ SEP26' Action='Sell' Limit price=29573 Stop price=29573 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 21:10:46,Order,Order='2876156350/PA-APEX-240737-10' Name='StopLimit_2' New state='Filled' Instrument='MNQ SEP26' Action='Sell' Limit price=29573 Stop price=29573 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=1 Fill price=29573 Error='No error' Native error='',
27.08.2026 21:10:46,Execution,Execution='1774943|2876156350|2876156350' Instrument='MNQ SEP26' Account='PA-APEX-240737-10' Exchange=Globex Price=29573 Quantity=1 Market position=Short Operation=Operation_Add Order='2876156350' Time='8.27.2026 9:10 PM',
27.08.2026 21:10:46,Order,Order='2876156350/PA-APEX-240737-10' Name='StopLimit_2' New state='Working' Instrument='MNQ SEP26' Action='Sell' Limit price=29573 Stop price=29573 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 21:10:46,Position,Instrument='MNQ SEP26' Account='PA-APEX-240737-10' Average price=29584.75 Quantity=2 Market position=Long Operation=Update,
27.08.2026 21:10:31,Order,Order='2876288869/PA-APEX-240737-10' Name='StopLimit_2' New state='Accepted' Instrument='MNQ SEP26' Action='Sell' Limit price=29573 Stop price=29573 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 21:10:31,Order,Order='ea73d4e65d9747af811983a1e6e035a8/PA-APEX-240737-10' Name='StopLimit_2' New state='Submitted' Instrument='MNQ SEP26' Action='Sell' Limit price=29573 Stop price=29573 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 21:10:28,Execution,Execution='1777622|2876288823|2876288823' Instrument='MNQ SEP26' Account='PA-APEX-240737-10' Exchange=Globex Price=29581 Quantity=1 Market position=Long Operation=Operation_Add Order='2876288823' Time='8.27.2026 9:10 PM',
27.08.2026 21:10:28,Order,Order='2876288823/PA-APEX-240737-10' Name='' New state='Filled' Instrument='MNQ SEP26' Action='Buy' Limit price=29581 Stop price=0 Quantity=1 Type='Limit' Time in force=DAY Oco='' Filled=1 Fill price=29581 Error='No error' Native error='',
27.08.2026 21:10:28,Order,Order='2876288823/PA-APEX-240737-10' Name='' New state='Working' Instrument='MNQ SEP26' Action='Buy' Limit price=29581 Stop price=0 Quantity=1 Type='Limit' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 21:10:28,Order,Order='2876288823/PA-APEX-240737-10' Name='' New state='Accepted' Instrument='MNQ SEP26' Action='Buy' Limit price=29581 Stop price=0 Quantity=1 Type='Limit' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 21:10:28,Position,Instrument='MNQ SEP26' Account='PA-APEX-240737-10' Average price=29601.33333333 Quantity=3 Market position=Long Operation=Update,
27.08.2026 21:10:28,Order,Order='80ebda5620084039ab7acd2e01548ab2/PA-APEX-240737-10' Name='' New state='Submitted' Instrument='MNQ SEP26' Action='Buy' Limit price=29581 Stop price=0 Quantity=1 Type='Limit' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 21:10:28,Order,Chart Trader submitting order without strategy,
27.08.2026 21:07:17,Order,Order='2876285310/PA-APEX-240737-10' Name='StopLimit_2' New state='Accepted' Instrument='MNQ SEP26' Action='Sell' Limit price=29573 Stop price=29573 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 21:07:17,Order,Order='b1db94775f2e490db125c62b758f8ae8/PA-APEX-240737-10' Name='StopLimit_2' New state='Submitted' Instrument='MNQ SEP26' Action='Sell' Limit price=29573 Stop price=29573 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 21:07:14,Execution,Execution='1774015|2876285249|2876285249' Instrument='MNQ SEP26' Account='PA-APEX-240737-10' Exchange=Globex Price=29588.5 Quantity=1 Market position=Long Operation=Operation_Add Order='2876285249' Time='8.27.2026 9:07 PM',
27.08.2026 21:07:14,Order,Order='2876285249/PA-APEX-240737-10' Name='' New state='Filled' Instrument='MNQ SEP26' Action='Buy' Limit price=29588.5 Stop price=0 Quantity=1 Type='Limit' Time in force=DAY Oco='' Filled=1 Fill price=29588.5 Error='No error' Native error='',
27.08.2026 21:07:14,Position,Instrument='MNQ SEP26' Account='PA-APEX-240737-10' Average price=29611.5 Quantity=2 Market position=Long Operation=Update,
